Checkliste Regler-Programmierung;;;;;;;;;;;;;;;;;;;;
Controller:;Controller:;;;;;;;;;;;;;;;;;;;
SC 6000 WPC;V6.2;;Standard-Werte;R407c;R134a;Scroll;Hub;Heizen;Heiz-Kühl;HWBW-K;Ladepumpe;HBJV;HCS/HWS;HCW/HWW;Mischer;Absorber -14Gr;Absorber -18Gr;Mono;Mono heiz-kühl;
09-23 Minimale Stillstandszeit;9-5;P1;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15
09-26 Vorhaltezeit 2. Stufe;9-7;P1;10;;;;;;;;;;;;;;;10;10;
09-31 Minimale WE Laufzeit;9-3;P1;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;9;
09-32 TWVmin Kühlbetrieb;10-3;P1;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14
09-34 Einschaltverzögerung 2. Stufe;9-8;P1;0;;;;;;;;;;;;;;;9;;
09-35 Schaltdifferenz 2. Stufe;9-6;P1;0;;;;;;;;;;;;;;;3;3;
10-31 WE Maximaltemperatur;10-0;P1;60;60;60;70;;;;;;;;;;;;70;70;
15-10 Heissgas Maximaltemperatur;11-5;P1;125;;;130;125;;;;;;;;;;;;;
15-11 TWVmax Abschalthysterese;;;7;;;;;;;;;;;;;;;;;
15-12 Kondensator Austritt Störung;;;-5;;;;;;-5;;;;;;;;;;;
15-13 Kondensator Austritt Abschaltoffset;;;2;;;;;;2;;;;;;;;;;;
15-21 Nachlaufzeit Quellenpumpe;10-2;P1;0,5;;;;;;;;;;;;;;;;;
15-22 Wärmequelle Frostschutztemperatur;11-6;P1;-12;;;;;;;;;;-12;2;;-25;-25;;;
nNnN;11-7;P1;40;;;;;;;;;;;;;;;;;
15-25 Abschaltoffset Frostschutz;11-9;P1;2;;;;;;;;;;2;2;;9;5;;;
15-26 TWE-Temp rpunkt TWVmax Reduktion;;;-20;;;;;;;;;;;;;-1;-1;;;
15-27 TWVmax bei TWE Grenztenperatur;;;60;;;;;;;;;;;;;40;40;;;
15-28 TWE Grenztenperatur;;;-30;;;;;;;;;;;;;-14;-18;;;
15-40 Abtautyp;;;0;;;;;;;;;;;;;;;;;
15-41 Abtaudifferenz (TWE - TVD);;;10;;;;;;;;;;;;;;;;;
15-42 Freigabe Abtauung (TVD);;;-6;;;;;;;;;;;;;;;;;
15-43 Abtauendetemperatur (TVD);;;5;;;;;;;;;;;;;;;;;
15-44 Abtaudauer;;;20;;;;;;;;;;;;;;;;;
