index;tem_id;name;context;stored_value;unit_inferred;minimum;maximum;step_raw;group_text;address_candidate_hex;type_raw;unit_raw;variant_index;position_raw;page_raw;entry_key_raw;variant_flag_raw;address_low_raw;address_high_raw;header_raw;tail_raw;title;help_text;author_text;controller_text;offset;end_offset;payload_offset;fields_offset
42;03-08;Vorlauf Sollwert  Heizgrenze;Heizkreis 1 (abgeleitet);-10;K;-10;10;5;Einstellebene 3, Raumtemperaturregelung;0xF026;13;2;0;5;3;6224;1;38;240;[1, 2, 21, 2];[0, 0, 81];03-08  Vorlauf Sollwert  Heizgrenze;Der Sommerbetrieb ist aktiv wenn die Differenz zwischen dem errechneten Vorlauftemperatur-Sollwert und dem Raumtemperatur-Sollwert kleiner als der Einstellwert ist.;ich;17385;10769;11114;10771;10823
43;03-08;Vorlauf Sollwert  Heizgrenze;Heizkreis 2 (abgeleitet);-10;K;-10;10;5;Einstellebene 3, Raumtemperaturregelung;0xF34E;13;2;1;5;3;6225;1;78;243;[1, 2, 21, 2];[0, 0, 81];03-08  Vorlauf Sollwert  Heizgrenze;Der Sommerbetrieb ist aktiv wenn die Differenz zwischen dem errechneten Vorlauftemperatur-Sollwert und dem Raumtemperatur-Sollwert kleiner als der Einstellwert ist.;ich;17385;11114;11459;11116;11168
15;03-10;Steilheit Kennlinie;Heizkreis 1 (abgeleitet);0,3;;0;5;1;Einstellebene 2, ;0xF01A;14;0;0;3;2;4144;1;26;240;[1, 2, 21, 2];[0, 0, 81];03-10  Steilheit Kennlinie;Die Steilheit bestimmt die Steigung der Kennlinie in Abhängigkeit der Aussentemperatur;ich;17385;3063;3299;3065;3108
16;03-10;Steilheit Kennlinie;Heizkreis 2 (abgeleitet);0,3;;0;5;1;Einstellebene 2, ;0xF342;14;0;1;3;2;4145;1;66;243;[1, 2, 21, 2];[0, 0, 81];03-10  Steilheit Kennlinie;Die Steilheit bestimmt die Steigung der Kennlinie in Abhängigkeit der Aussentemperatur;ich;17385;3299;3535;3301;3344
44;03-11;Fusspunkt Vorlaufkennlinie: TA;Heizkreis 1 (abgeleitet);20;°C;-10;30;5;Einstellebene 3, Raumtemperaturregelung;0xF024;13;1;0;6;3;6240;1;36;240;[1, 2, 21, 2];[2, 0, 81];03-11  Fusspunkt Vorlaufkennlinie: TA;Der eingestellte Wert bestimmt die Lage der eingeastellten Vorlauf Fusspunkttemperatur.;ich;17385;11459;11729;11461;11515
45;03-11;Fusspunkt Vorlaufkennlinie: TA;Heizkreis 2 (abgeleitet);20;°C;-10;30;5;Einstellebene 3, Raumtemperaturregelung;0xF34C;13;1;1;6;3;6241;1;76;243;[1, 2, 21, 2];[2, 0, 81];03-11  Fusspunkt Vorlaufkennlinie: TA;Der eingestellte Wert bestimmt die Lage der eingeastellten Vorlauf Fusspunkttemperatur.;ich;17385;11729;11999;11731;11785
46;03-20;Zeitkonstante für Aussentemperaturmittelung;Einstellebene 3, Raumtemperaturregelung;10;h;0;20;10;Einstellebene 3, Raumtemperaturregelung;0xF2D8;13;5;0;7;3;6256;0;216;242;[1, 2, 21, 2];[1, 0, 81];03-20  Zeitkonstante für Aussentemperaturmittelung;"Für die Sommer-/Winterumschaltung wird mit einer gemittelten Aussentemperatur gerechnet, welche die Trägheit des Gebäudes berücksichtigt.
0=keine
5h=leichte Bauweise
10h=mittelschwere Bauweise
20h=schwere Bauweise";ich;17385;11999;12412;12001;12068
19;03-21;Heizgrenze bei Tagbetrieb;Heizkreis 1 (abgeleitet);16;°C;0;40;10;Einstellebene 2, ;0xF032;13;1;0;5;2;4176;1;50;240;[1, 2, 21, 2];[0, 0, 81];03-21  Heizgrenze bei Tagbetrieb;Ist der Aussentemperatur Mittelwert grösser als der Einstelwert, schaltet der Heizbetrieb aus. Der Heizbetrieb schaltet wieder ein, wenn der Mittelwert um 2 K kleiner ist.;ich;17385;3951;4278;3953;4002
20;03-21;Heizgrenze bei Tagbetrieb;Heizkreis 2 (abgeleitet);16;°C;0;40;10;Einstellebene 2, ;0xF35A;13;1;1;5;2;4177;1;90;243;[1, 2, 21, 2];[0, 0, 81];03-21  Heizgrenze bei Tagbetrieb;Ist der Aussentemperatur Mittelwert grösser als der Einstelwert, schaltet der Heizbetrieb aus. Der Heizbetrieb schaltet wieder ein, wenn der Mittelwert um 2 K kleiner ist.;ich;17385;4278;4605;4280;4329
47;03-23;Frostgrenze;Heizkreis 1 (abgeleitet);2;°C;-10;20;5;Einstellebene 3, Raumtemperaturregelung;0xF03C;13;1;0;8;3;6272;1;60;240;[1, 2, 21, 2];[2, 0, 81];03-23  Frostgrenze;Sinkt die Aussentemperatur unter den eingestellten Wert, wird die Frostschutzfunktion aktiv. Steigt die Aussentemperatur über den eingestellten Wert + 2K wird die Frostschutzfunktion deaktiviert.;ich;17385;12412;12771;12414;12449
48;03-23;Frostgrenze;Heizkreis 2 (abgeleitet);2;°C;-10;20;5;Einstellebene 3, Raumtemperaturregelung;0xF364;13;1;1;8;3;6273;1;100;243;[1, 2, 21, 2];[2, 0, 81];03-23  Frostgrenze;Liegt die Aussentemperatur unterhalb des Einstellwertes sind die Frostschutzfunktionen frei.;ich;17385;12771;13027;12773;12808
49;03-30;Nachstellzeit Raumregler;Heizkreis 1 (abgeleitet);0;min;0;200;10;Einstellebene 3, Raumtemperaturregelung;0xF03E;13;6;0;9;3;6288;1;62;240;[1, 2, 21, 2];[1, 0, 81];03-30  Nachstellzeit Raumregler ;Mit der Nachstellzeit wird die Geschwindigkeit beeinflusst, mit der die Heizungseinrichtung eine Soll-/Istwertabweichung der Raumtemperatur ausregelt. Sie wirkt ergänzend zum eingestellten Raumeinfluss (3-7).;ich;17385;13027;13413;13029;13078
50;03-30;Nachstellzeit Raumregler;Heizkreis 2 (abgeleitet);0;min;0;200;10;Einstellebene 3, Raumtemperaturregelung;0xF366;13;6;1;9;3;6289;1;102;243;[1, 2, 21, 2];[1, 0, 81];03-30  Nachstellzeit Raumregler ;Mit der Nachstellzeit wird die Geschwindigkeit beeinflusst, mit der die Heizungseinrichtung eine Soll-/Istwertabweichung der Raumtemperatur ausregelt. Sie wirkt ergänzend zum eingestellten Raumeinfluss (3-7).;ich;17385;13413;13799;13415;13464
51;03-35;Kühlgrenzenabstand;Heizkreis 1 (abgeleitet);10;°C;2;10;5;Einstellebene 3, Raumtemperaturregelung;0xF014;13;1;0;10;3;6304;1;20;240;[1, 2, 21, 2];[0, 0, 81];03-35  Kühlgrenzenabstand;"Der Kühlgrenzenabstand plus die aktuelle Heizgrenze ergibt die Kühlgrenze. Der Kühlbetrieb wird gestartet,
sobald die gemittelte Aussentemperatur die Kühlgrenze überschritten hat und 1K unter der Kühlgrenze beendet.";ich;17385;13799;14186;13801;13843
52;03-35;Kühlgrenzenabstand;Heizkreis 2 (abgeleitet);5;°C;2;10;5;Einstellebene 3, Raumtemperaturregelung;0xF33C;13;1;1;10;3;6305;1;60;243;[1, 2, 21, 2];[0, 0, 81];03-35  Kühlgrenzenabstand;"Der Kühlgrenzenabstand plus die aktuelle Heizgrenze ergibt die Kühlgrenze. Der Kühlbetrieb wird gestartet,
sobald die gemittelte Aussentemperatur die Kühlgrenze überschritten hat und 1K unter der Kühlgrenze beendet.";ich;17385;14186;14573;14188;14230
53;03-43;Kühltemperatur;Heizkreis 1 (abgeleitet);22;°C;10;30;5;Einstellebene 3, Raumtemperaturregelung;0xF010;13;1;0;11;3;6320;1;16;240;[1, 2, 21, 2];[0, 0, 81];03-43  Kühltemperatur;Die Kühltemperatur ist der Sollwert für die Heizkreistemperatur im Kühlbetrieb;ich;17385;14573;14818;14575;14613
54;03-43;Kühltemperatur;Heizkreis 2 (abgeleitet);22;°C;10;30;5;Einstellebene 3, Raumtemperaturregelung;0xF338;13;1;1;11;3;6321;1;56;243;[1, 2, 21, 2];[0, 0, 81];03-43  Kühltemperatur;Die Kühltemperatur ist der Sollwert für die Heizkreistemperatur im Kühlbetrieb;ich;17385;14818;15063;14820;14858
1;03-50;Betriebswahl Heizung und Brauchwasser;Heizkreis 1 (abgeleitet);1;;0;5;1;Einstellebene 1, ;0xF00A;0;0;0;0;1;2048;1;10;240;[1, 2, 21, 1];[0, 0, 81];03-50  Betriebswahl Heizung und Brauchwasser;"0 = Standbybetrieb           
1 = Automatik 1                 
2 = Normalbetrieb           
3 = Reduziertbetrieb           
4 = Sommerbetrieb           
5 = Handbetrieb";ich;17385;2;356;17;78
2;03-50;Betriebswahl Heizung und Brauchwasser;Heizkreis 2 (abgeleitet);1;;0;5;1;Einstellebene 1, ;0xF332;0;0;1;0;1;2049;1;50;243;[1, 2, 21, 1];[0, 0, 81];03-50  Betriebswahl Heizung und Brauchwasser;"0 = Standbybetrieb           
1 = Automatik 1                 
2 = Normalbetrieb           
3 = Reduziertbetrieb           
4 = Sommerbetrieb           
5 = Handbetrieb";ich;17385;356;697;358;419
9;03-51;Sollwert Raumtemperatur Heizen Tag normal;Heizkreis 1 (abgeleitet);20,5;°C;10;30;5;Einstellebene 2, ;0xF004;13;1;0;0;2;4096;1;4;240;[1, 2, 21, 2];[0, 0, 81];03-51  Sollwert Raumtemperatur Heizen Tag normal;Raumtemperatur Sollwert für Normalbetrieb;ich;17385;1819;2032;1821;1886
10;03-51;Sollwert Raumtemperatur Heizen Tag normal;Heizkreis 2 (abgeleitet);20,5;°C;10;30;5;Einstellebene 2, ;0xF32C;13;1;1;0;2;4097;1;44;243;[1, 2, 21, 2];[0, 0, 81];03-51  Sollwert Raumtemperatur Heizen Tag normal;Raumtemperatur Sollwert für Normalbetrieb;ich;17385;2032;2245;2034;2099
11;03-53;Sollwert Raumteperatur Heizen Nacht;Heizkreis 1 (abgeleitet);18;°C;5;20;5;Einstellebene 2, ;0xF006;13;1;0;1;2;4112;1;6;240;[1, 2, 21, 2];[0, 0, 81];03-53  Sollwert Raumteperatur Heizen Nacht;Raumtemperatur Sollwert für reduzierten Betrieb;ich;17385;2245;2458;2247;2306
12;03-53;Sollwert Raumteperatur Heizen Nacht;Heizkreis 2 (abgeleitet);18;°C;5;20;5;Einstellebene 2, ;0xF32E;13;1;1;1;2;4113;1;46;243;[1, 2, 21, 2];[0, 0, 81];03-53  Sollwert Raumteperatur Heizen Nacht;Raumtemperatur Sollwert für reduzierten Betrieb;ich;17385;2458;2671;2460;2519
5;03-58;Behaglichkeit;Heizkreis 1 (abgeleitet);0;K;-3;3;5;Einstellebene 1, ;0xF00E;13;2;0;2;1;2080;1;14;240;[1, 2, 21, 2];[0, 0, 81];03-58  Behaglichkeit;Anpassung der Raum Solltemperatur;ich;17385;1103;1280;1105;1142
6;03-58;Behaglichkeit;Heizkreis 2 (abgeleitet);-1;K;-3;3;5;Einstellebene 1, ;0xF336;13;2;1;2;1;2081;1;54;243;[1, 2, 21, 2];[0, 0, 81];03-58  Behaglichkeit;Anpassung der Raum Solltemperatur;ich;17385;1280;1457;1282;1319
7;03-60;Partydauer HB;Heizkreis 1 (abgeleitet);0;min;0;600;5;Einstellebene 1, ;0xF00C;0;6;0;3;1;2096;1;12;240;[1, 2, 21, 1];[0, 0, 81];03-60  Partydauer HB;Zeitdauer für Partybetrieb in Minuten;ich;17385;1457;1638;1459;1496
8;03-60;Partydauer HB;Heizkreis 2 (abgeleitet);0;min;0;600;5;Einstellebene 1, ;0xF334;0;6;1;3;1;2097;1;52;243;[1, 2, 21, 1];[0, 0, 81];03-60  Partydauer HB;Zeitdauer für Partybetrieb in Minuten;ich;17385;1638;1819;1640;1677
59;04-00;Fühlerkonfiguration speichern;Einstellebene 4, Globale Einstellungen;0;;0;1;1;Einstellebene 4, Globale Einstellungen;0xF2DA;4;0;0;0;4;8192;0;218;242;[1, 2, 21, 2];[1, 0, 81];04-00  Fühlerkonfiguration speichern;"Sind alle benötigten Fühler angeschlossen muss der Einsteller auf ""on"" gesetzt werden. Damit wird die Anlagenkonfiguration
gespeichert und es werden Fehler generiert, sollte ein Fühlerwert nicht im definierten Bereich sein.";ich;17385;16093;16498;16095;16148
60;04-02;Funktion Sollwerteingang;Einstellebene 4, Globale Einstellungen;0;;0;4;1;Einstellebene 4, Globale Einstellungen;0xF2D6;4;0;0;1;4;8208;0;214;242;[1, 2, 21, 2];[1, 0, 81];04-02  Funktion Sollwerteingang;"Hier wird die Funktion Sollwerteingang einem Heizkreis oder der ganzen Anlage zugeordnet:
0 = Wärmeerzeuger 
1 = Wärmeerzeuger (0 V = Standby, 1-8.5 V = 10-85 °C, 10 V = Kühlbetrieb)
2 = Heizkreis 
3 = Keine Funktion
4 = Heizkreis (10 V = Standby)";ich;17385;16498;16926;16500;16548
61;04-08;Handbetrieb Konfiguration;Einstellebene 4, Globale Einstellungen;2;;1;2;1;Einstellebene 4, Globale Einstellungen;0xF2DC;4;0;0;2;4;8224;0;220;242;[1, 2, 21, 2];[1, 0, 81];04-08  Handbetrieb Konfiguration;"Welcher Wärmeerzeuger im Handbetrieb aktiviert werden soll, kann konfiguriert werden.
1 = Lokal (es wird nur der angewählte, reglerinterne WEZ aktiviert).
2 = Es werden alle über eBUS eingebundenen WEZ aktiviert.";ich;17385;16926;17317;16928;16977
62;04-20;Anlage-Hauptregler / Folgeregler;Einstellebene 4, Globale Einstellungen;2;;0;25;1;Einstellebene 4, Globale Einstellungen;0xF2E2;4;0;0;3;4;8240;0;226;242;[1, 2, 21, 2];[1, 0, 81];04-20  Anlage-Hauptregler / Folgeregler;"0=kein Wärmemanagement         
2=Masterregler          
3=Folgeregler 1          
4=Folgeregler 2          
5=Folgeregler 3          
17=Folgeregler 4          
18=Folgeregler 5          
19=Folgeregler 6          
20=Folgeregler 7";ich;17385;17317;17741;17319;17375
170;04-22;WE 1 Zieladresse;Einstellebene 11, WE 1 Kaskadenfunktionen;11;;0;24;1;Einstellebene 11, WE 1 Kaskadenfunktionen;0xF2EA;0;0;0;0;11;22528;0;234;242;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;51022;51390;51024;51064
176;04-22;WE 1 Zieladresse;Einstellebene 12, WE 2 Kaskadenfunktionen;12;;0;24;1;Einstellebene 12, WE 2 Kaskadenfunktionen;0xF2F2;0;0;0;10;11;22688;0;242;242;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;52766;53134;52768;52808
182;04-22;WE 1 Zieladresse;Einstellebene 13, WE 3 Kaskadenfunktionen;0;;0;24;1;Einstellebene 13, WE 3 Kaskadenfunktionen;0xF2FA;0;0;0;20;11;22848;0;250;242;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;54510;54878;54512;54552
188;04-22;WE 1 Zieladresse;Einstellebene 14, WE 4 Kaskadenfunktionen;0;;0;24;1;Einstellebene 14, WE 4 Kaskadenfunktionen;0xF302;0;0;0;30;11;23008;0;2;243;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;56254;56622;56256;56296
194;04-22;WE 1 Zieladresse;Einstellebene 15, WE 5 Kaskadenfunktionen;0;;0;24;1;Einstellebene 15, WE 5 Kaskadenfunktionen;0xF30A;0;0;0;40;11;23168;0;10;243;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;57998;58366;58000;58040
200;04-22;WE 1 Zieladresse;Einstellebene 16, WE 6 Kaskadenfunktionen;0;;0;24;1;Einstellebene 16, WE 6 Kaskadenfunktionen;0xF312;0;0;0;50;11;23328;0;18;243;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;59742;60110;59744;59784
206;04-22;WE 1 Zieladresse;Einstellebene 17, WE 7 Kaskadenfunktionen;0;;0;24;1;Einstellebene 17, WE 7 Kaskadenfunktionen;0xF31A;0;0;0;60;11;23488;0;26;243;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;61486;61854;61488;61528
212;04-22;WE 1 Zieladresse;Einstellebene 18, WE 8 Kaskadenfunktionen;0;;0;24;1;Einstellebene 18, WE 8 Kaskadenfunktionen;0xF322;0;0;0;70;11;23648;0;34;243;[1, 2, 21, 1];[1, 0, 81];04-22  WE 1 Zieladresse;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;63230;63598;63232;63272
115;04-27;eBUS Adresse WEZ;Einstellebene 9, WE Einstellungen Wärmepumpe;11;;0;25;1;Einstellebene 9, WE Einstellungen Wärmepumpe;0xF252;4;0;0;0;9;18432;0;82;242;[1, 2, 21, 2];[1, 0, 81];04-27  eBUS Adresse WEZ;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;33096;33467;33098;33138
155;04-27;eBUS Adresse WEZ;Einstellebene 10, WE Einstellungen Elektro Zusatzheizung;12;;0;25;1;Einstellebene 10, WE Einstellungen Elektro Zusatzheizung;0xF57A;4;0;0;0;10;20480;0;122;245;[1, 2, 21, 2];[1, 0, 81];04-27  eBUS Adresse WEZ;"0 = kein WE
11 = Wärmeerzeuger 1
12 = Wärmeerzeuger 2
13 = Wärmeerzeuger 3  
14 = Wärmeerzeuger 4  
15 = Wärmeerzeuger 5  
22 = Wärmeerzeuger 6  
23 = Wärmeerzeuger 7  
24 = Wärmeerzeuger 8";ich;17385;46298;46681;46300;46340
63;04-30;Multifunktionsusgang 1;Einstellebene 4, Globale Einstellungen;1;;0;1;1;Einstellebene 4, Globale Einstellungen;0xF2DE;4;0;0;4;4;8256;0;222;242;[1, 2, 21, 2];[1, 0, 81];04-30  Multifunktionsusgang 1;"Heizkreispumpe 1
0 = Normale Funktion        
1 = Heizkreipumpe läuft zusätzlich wenn Wärmeerzeugerpumpe läuft";ich;17385;17741;18027;17743;17789
64;04-31;Multifunktionsusgang 2;Einstellebene 4, Globale Einstellungen;0;;0;1;1;Einstellebene 4, Globale Einstellungen;0xF2E4;4;0;0;5;4;8272;0;228;242;[1, 2, 21, 2];[1, 0, 81];04-31  Multifunktionsusgang 2;"Heizkreispumpe 2
0 = Normale Funktion        
1 = Heizkreipumpe läuft zusätzlich wenn Wärmeerzeugerpumpe läuft";ich;17385;18027;18313;18029;18075
65;04-36;eBUS Speisung Abschaltung;Einstellebene 4, Globale Einstellungen;1;;0;1;1;Einstellebene 4, Globale Einstellungen;0xFEAE;0;0;0;6;4;8288;0;174;254;[1, 2, 21, 1];[2, 0, 81];04-36  eBUS Speisung Abschaltung;"eBUS Speisung:
0 = abgeschaltet        
1 = eBUS Speisung 50 mA aktiv";ich;17385;18313;18561;18315;18364
66;04-40;Service Passwort;Einstellebene 4, Globale Einstellungen;161;;0;255;1;Einstellebene 4, Globale Einstellungen;0xF2E6;0;0;0;7;4;8304;0;230;242;[1, 2, 21, 1];[1, 0, 81];04-40  Service Passwort;Als Service Passwort kann ein Wert zwischen 0 und 255 eingestellt werden;ich;17385;18561;18801;18563;18603
21;04-45;Kommandobefehle;Einstellebene 2;0;;0;29;1;Einstellebene 2, ;0x0A9D;0;0;0;6;2;4192;0;157;10;[0, 0, 21, 1];[3, 0, 81];04-45  Kommandobefehle;"Kommandobefehle:
0 = keine Funktion
9 = Geräte Reset
21 = Entriegelung
29 = Factory Reset";ich;17385;4605;4844;4607;4646
67;04-60;Mode Austrocknungsprogramm;Einstellebene 4, Globale Einstellungen;0;;0;2;1;Einstellebene 4, Globale Einstellungen;0xFFC6;0;0;0;8;4;8320;0;198;255;[1, 2, 21, 1];[1, 0, 81];04-60  Mode Austrocknungsprogramm;"0 = Austrocknungsprogramm beenden
1 = Austrocknungsprogramm für Heizkreis 1 starten
2 = Austrocknungsprogramm für Heizkreis 2 starten";ich;17385;18801;19114;18803;18853
68;04-61;Vorlaufsollwert-Steigung in der Aufheizphase;Einstellebene 4, Globale Einstellungen;5;K;0,5;20;1;Einstellebene 4, Globale Einstellungen;0xFFC7;13;2;0;9;4;8336;0;199;255;[1, 2, 21, 2];[3, 0, 81];04-61  Vorlaufsollwert-Steigung in der Aufheizphase;Vorlauf Sollwertsteigung für die Aufheizphase Austrocknungsprogramm [K/d];ich;17385;19114;19383;19116;19184
