timestamp	server	destination	request	status	parameter_bytes	tem_code	response	error
2026-09-11T17:05:54.691137+00:00	127.0.0.1:8888	15	1506210423850000	hit	8841	03-008	0a88418d0464009cff9cff	
2026-09-11T17:05:54.987402+00:00	127.0.0.1:8888	15	1506210423860000	hit	a341	03-035	0aa3414d04640014003c00	
2026-09-11T17:05:55.253869+00:00	127.0.0.1:8888	15	1506210423870000	hit	ab41	03-043	0aab414d022c016400dc00	
2026-09-11T17:05:55.519555+00:00	127.0.0.1:8888	15	1506210423880000	hit	2d02	04-045	0a2d020900010220000000	
2026-09-11T17:05:55.816786+00:00	127.0.0.1:8888	15	1506210423890000	hit	3c42	04-060	0a3c420000020000000000	
2026-09-11T17:05:56.081962+00:00	127.0.0.1:8888	15	15062104238a0000	hit	8e42	05-014	0a8e420400080000000000	
2026-09-11T17:05:56.348282+00:00	127.0.0.1:8888	15	15062104238b0000	hit	8844	09-008	0a88440400030000000000	
2026-09-11T17:12:25.993218+00:00	127.0.0.1:8888	15	1506210429000000	hit	50c1	02-080	0a50c11d000100600a0100	
2026-09-11T17:12:26.259988+00:00	127.0.0.1:8888	15	1506210429010000	hit	51c1	02-081	0a51c11d00010008294c0b	
2026-09-11T17:13:01.744732+00:00	127.0.0.1:8888	15	1506210429800000	hit	50c1	02-080	0a50c11d000100600a0100	
2026-09-11T17:13:02.009482+00:00	127.0.0.1:8888	15	1506210429810000	hit	51c1	02-081	0a51c11d00010008294c0b	
2026-09-11T17:13:37.212630+00:00	127.0.0.1:8888	15	150621042a000000	hit	50c1	02-080	0a50c11d0001004c0e0000	
2026-09-11T17:13:37.478877+00:00	127.0.0.1:8888	15	150621042a010000	hit	51c1	02-081	0a51c11d0001001f600700	
2026-09-11T17:14:12.790322+00:00	127.0.0.1:8888	15	150621042a800000	hit	50c1	02-080	0a50c11d0001004c0e0000	
2026-09-11T17:14:13.056814+00:00	127.0.0.1:8888	15	150621042a810000	hit	51c1	02-081	0a51c11d0001001f600700	
